   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   1    6    2   2.485813   -10.817886     0.000000      10.8179   57.99230    0.07125    4
   2    0   -6   2.483143    27.293956     0.000000       27.294   58.06061    0.22637    2
   2    4    2   2.480982   -11.594165     0.000000      11.5942   58.11601    0.08157    4
   3    3   -2   2.470062    39.335350    -0.000000      39.3354   58.39769    0.93196    4
   2    5    1   2.465980    19.661923     0.000000      19.6619   58.50371    0.23220    4
   2    1   -6   2.459328    35.665522     0.000000      35.6655   58.67739    0.76057    4
   3    2    0   2.449528    44.741701    -0.000000      44.7417   58.93523    1.18891    4
   3    2   -4   2.447394    69.007346     0.000000      69.0073   58.99169    2.82409    4
   1    4    4   2.445772    -8.314125    -0.000000      8.31413   59.03468    0.04095    4
   0    4    5   2.444966    66.236793    -0.000000      66.2368   59.05606    2.59754    4
   1    1    5   2.439183   -36.241935     0.000000      36.2419   59.21003    0.77457    4
   0    0    6   2.438511    70.169413    -0.000000      70.1694   59.22795    1.45112    2
   3    3   -1   2.436122    86.132640    -0.000000      86.1326   59.29184    4.36576    4
   3    3   -3   2.435072    -5.549109     0.000000      5.54911   59.31997    0.01811    4
   1    7   -1   2.423685   -30.032113     0.000000      30.0321   59.62678    0.52623    4
   0    1    6   2.415946   -22.838569    -0.000000      22.8386   59.83724    0.30271    4
   1    7    0   2.412846    -9.912677     0.000000      9.91268   59.92198    0.05690    4
   2    5   -4   2.407905    52.951405    -0.000000      52.9514   60.05756    1.61817    4
   0    7    2   2.401891   -42.093950     0.000000      42.0939   60.22348    1.01836    4
   2    4   -5   2.399375   -93.647470    -0.000000      93.6475   60.29319    5.03149    4
   2    6   -1   2.394939    28.145521     0.000000      28.1455   60.41649    0.45309    4
   2    2   -6   2.391794    41.021284     0.000000      41.0213   60.50424    0.96037    4
   2    6   -2   2.383987     5.986214     0.000000      5.98621   60.72323    0.02034    4
   2    3    3   2.382743    71.135501    -0.000000      71.1355   60.75826    2.86988    4
   1    3   -6   2.380510   -56.655087    -0.000000      56.6551   60.82130    1.81758    4
   1    2    5   2.373251   -27.138772     0.000000      27.1388   61.02713    0.41496    4
   1    7   -2   2.369932    14.724136    -0.000000      14.7241   61.12174    0.12186    4
